Company Name,Income in $ million,U.S. Tax Rate Paid,Effective Tax Rate
HCP Inc,505,Tax-Free REIT,Tax-Free REIT
Health Care REIT Inc,156,Tax-Free REIT,Tax-Free REIT
Public Storage,834,Tax-Free REIT,Tax-Free REIT
Simon Property Group,1021,Tax-Free REIT,Tax-Free REIT
Ventas Inc,330,Tax-Free REIT,Tax-Free REIT
Vornado Realty Trust,619,Tax-Free REIT,Tax-Free REIT
Carnival Corp,1912,Exempt,Exempt
Electronic Arts,(18),Refund,Negative
First Solar Inc,(54),Refund,Negative
Owens-Illinois Inc,(406),Refund,Negative
"Penney, J.C. Inc",(229),Refund,Negative
Salesforce.com,(33),Refund,Negative
Sears Holdings Corp,(1751),Refund,Negative
Vulcan Materials Co,(154),Refund,Negative
WPX Energy Inc.,(417),Refund,Negative
XL Group Plc,(421),Refund,Negative
Abbott Laboratories,5199,Refund,9
AGL Resources,311,Refund,40
AT&T,6716,Refund,38
Advanced Micro Devices,(1),Refund,Negative
Aetna Inc,(403),Refund,Negative
Agilent Technologies Inc,1032,Refund,2
Alexion Pharmaceuticals Inc,230,Refund,24
Alpha Natural Resources,(716),Refund,Negative
Ameren Corp,836,Refund,37
American Intl Group Inc,(1065),Refund,Negative
Anadarko Petroleum Corp,(3424),Refund,Negative
Aon plc,1384,Refund,27
Apartment Investment & Mgmt,(149),Refund,Negative
Avon Products,743,Refund,29
Bank of America Corp,(230),Refund,Negative
Beam Inc,169,Refund,21
Boeing Co,5393,Refund,26
Broadcom Corp A,956,Refund,3
Cablevision Systems Co A,423,Refund,26
CenterPoint Energy,1174,Refund,34
CenturyLink,948,Refund,40
Citigroup Inc,14624,Refund,24
Computer Sciences,(4347),Refund,Negative
Cooper Industries Plc,757,Refund,16
Corning Inc,3213,Refund,13
Danaher Corp,2448,Refund,21
Denbury Resources Inc,924,Refund,38
Devon Energy Corp,4290,Refund,50
Dominion Resources,2171,Refund,34
"Donnelley, R.R. & Sons",(237),Refund,Negative
Duke Energy,2465,Refund,31
E*TRADE Financial Corp,185,Refund,15
Edison International,(264),Refund,Negative
Entergy Corp,1654,Refund,17
FedEx Corp,3141,Refund,35
First Horizon National Corp,150,Refund,11
First Energy,1443,Refund,40
Ford Motor Co,8681,Refund,Negative
Frontier Communications Corp,246,Refund,36
Halliburton Co,4449,Refund,32
Hartford Finl Services Group,230,Refund,Negative
"Horton, D.R. Inc",12,Refund,Negative
Host Hotels & Resorts Inc,(13),Refund,Negative
Hudson City Bancorp,(1255),Refund,Negative
Integrys Energy Group Inc,365,Refund,37
Intl Paper Co,1458,Refund,21
Invesco Ltd,908,Refund,32
JDS Uniphase Corp,46,Refund,Negative
Jabil Circuit Inc,481,Refund,20
LSI Corporation,94,Refund,4
Lennar Corp,98,Refund,15
Marathon Oil Corp,4427,Refund,61
Metlife Inc,10026,Refund,31
NRG Energy,(646),Refund,Negative
Newell Rubbermaid Inc,153,Refund,12
Newmont Mining Corp,1810,Refund,39
NextEra Energy,2452,Refund,22
NiSource,467,Refund,35
ONEOK Inc,984,Refund,23
PG&E Corp,1298,Refund,34
Pinnacle West,539,Refund,34
Pitney Bowes Inc,414,Refund,11
ProLogis Trust,(243),Refund,Negative
Progress Energy Inc,910,Refund,35
Pulte Group Inc,(310),Refund,Negative
QEP Resources,429,Refund,36
Rowan Cos Plc,130,Refund,Negative
Sprint Nextel Corp,(2636),Refund,Negative
Stanley Black & Decker,780,Refund,11
Starwood Hotel & Resort World,425,Refund,18
SunTrust Banks Inc (GA),739,Refund,11
Sunoco Inc,(2404),Refund,Negative
Textron Inc,337,Refund,28
Travelers Cos Inc,1352,Refund,Negative
Tyco Intl,1893,Refund,17
Weyerhaeuser Co,257,Refund,24
Whirlpool Corp,(28),Refund,Negative
Windstream Corp,274,Refund,37
Wisconsin Energy Corp,777,Refund,34
Xilinx Inc,597,Refund,11
